iter	Passed	Remaining
295	131390	312495
296	131782	311929
297	132193	311408
298	132586	310847
299	132971	310267
300	133433	309867
301	133906	309492
302	134367	309088
303	134760	308530
304	135138	307937
305	135607	307553
306	136033	307072
307	136449	306567
308	136839	306005
309	137264	305523
310	137711	305090
311	138156	304653
312	138582	304173
313	139027	303735
314	139448	303244
315	139876	302770
316	140248	302176
317	140671	301691
318	141102	301225
319	141560	300817
320	142018	300405
321	142433	299906
322	142873	299459
323	143299	298983
324	143769	298597
325	144198	298127
326	144648	297701
327	145028	297131
328	145423	296593
329	145832	296084
330	146326	295747
331	146732	295232
332	147189	294821
333	147609	294335
334	147999	293790
335	148413	293293
336	148772	292688
337	149154	292131
338	149596	291690
339	149965	291109
340	150406	290667
341	150896	290321
342	151329	289864
343	151742	289369
344	152157	288877
345	152583	288409
346	153018	287957
347	153420	287443
348	153867	287012
349	154245	286455
350	154647	285943
351	155069	285469
352	155476	284966
353	155905	284506
354	156367	284104
355	156814	283675
356	157213	283161
357	157681	282770
358	158064	282226
359	158459	281705
360	158867	281209
361	159256	280679
362	159697	280239
363	160082	279704
364	160549	279312
365	160982	278860
366	161391	278366
367	161829	277924
368	162315	277564
369	162758	277130
370	163174	276648
371	163666	276296
372	164124	275886
373	164512	275360
374	164924	274874
375	165368	274441
376	165839	274052
377	166309	273663
378	166707	273154
379	167194	272790
380	167713	272480
381	168158	272047
382	168594	271600
383	169010	271120
384	169421	270634
385	169863	270197
386	170330	269799
387	170806	269416
388	171249	268981
389	171736	268613
390	172187	268190
391	172679	267829
392	173101	267360
393	173477	266820
394	173933	266404
395	174366	265953
396	174840	265564
397	175290	265137
398	175782	264775
399	176274	264411
400	176737	264003
401	177124	263483
402	177542	263009
403	178091	262729
404	178545	262307
405	178993	261876
406	179449	261458
407	179932	261078
408	180359	260616
409	180796	260170
410	181197	259671
411	181593	259166
412	182008	258690
413	182479	258292
414	182888	257807
415	183303	257329
416	183794	256959
417	184299	256608
418	184742	256170
419	185145	255677
420	185604	255261
421	186034	254804
422	186499	254397
423	186984	254016
424	187414	253561
425	187886	253162
426	188314	252703
427	188755	252261
428	189158	251770
429	189603	251334
430	190101	250968
431	190494	250464
432	190915	249997
433	191369	249574
434	191827	249154
435	192292	248745
436	192691	248250
437	193218	247920
438	193653	247470
439	194092	247026
440	194494	246535
441	194880	246026
442	195314	245576
443	195747	245124
444	196161	244651
445	196564	244163
446	197008	243726
447	197419	243248
448	197808	242744
449	198204	242250
450	198616	241775
451	199057	241335
452	199485	240880
453	199920	240432
454	200324	239949
455	200726	239463
456	201138	238989
457	201513	238472
458	201962	238043
459	202365	237559
460	202799	237112
461	203294	236737
462	203692	236248
463	204078	235746
464	204554	235347
465	205038	234958
466	205521	234567
467	205946	234110
468	206315	233589
469	206678	233062
470	207137	232644
471	207560	232186
472	208075	231830
473	208531	231407
474	208955	230951
475	209374	230487
476	209777	230007
477	210213	229563
478	210657	229128
479	211076	228666
480	211521	228232
481	211906	227733
482	212297	227241
483	212764	226831
484	213182	226369
485	213637	225946
486	214071	225500
487	214547	225099
488	215033	224707
489	215452	224246
490	215855	223769
491	216327	223362
492	216738	222893
493	217205	222481
494	217667	222064
495	218125	221643
496	218601	221240
497	219016	220775
498	219423	220302
499	219836	219836
500	220250	219370
501	220623	218865
502	221049	218412
503	221457	217942
504	221907	217513
505	222357	217084
506	222752	216601
507	223186	216156
508	223571	215665
509	223999	215215
510	224386	214726
511	224858	214318
512	225219	213804
513	225625	213334
514	226076	212907
515	226470	212425
516	226917	211994
517	227443	211636
518	227892	211206
519	228303	210741
520	228701	210264
521	229208	209888
522	229642	209444
523	230072	208997
524	230503	208550
525	230947	208116
526	231357	207650
527	231777	207195
528	232240	206777
529	232658	206320
530	233114	205895
531	233544	205449
532	233980	205007
533	234420	204569
534	234830	204105
535	235274	203670
536	235744	203258
537	236180	202817
538	236597	202358
539	237092	201967
540	237482	201487
541	237918	201045
542	238362	200610
543	238824	200191
544	239248	199739
545	239634	199256
546	240050	198798
547	240480	198352
548	240854	197860
549	241325	197448
550	241735	196985
551	242226	196589
552	242618	196113
553	243019	195643
554	243433	195185
555	243797	194686
556	244227	194242
557	244618	193765
558	245045	193318
559	245422	192831
560	245848	192383
561	246213	191888
562	246622	191428
563	247033	190969
564	247461	190523
565	247860	190055
566	248287	189609
567	248709	189159
568	249161	188732
569	249562	188266
570	249977	187811
571	250427	187382
572	250806	186901
573	251234	186456
574	251737	186066
575	252146	185607
576	252563	185154
577	252992	184711
578	253447	184285
579	253828	183807
580	254305	183397
581	254706	182933
582	255152	182501
583	255562	182044
584	256008	181612
585	256437	181169
586	256857	180718
587	257290	180278
588	257713	179830
589	258182	179414
590	258593	178959
591	258976	178483
592	259395	178033
593	259889	177634
594	260300	177179
595	260685	176706
596	261109	176259
597	261563	175833
598	262008	175401
599	262383	174922
600	262830	174491
601	263260	174049
602	263638	173572
603	264113	173160
604	264492	172685
605	264943	172256
606	265367	171811
607	265802	171372
608	266209	170916
609	266614	170458
610	267065	170030
611	267459	169565
612	267924	169146
613	268373	168716
614	268843	168300
615	269257	167849
616	269647	167382
617	270085	166946
618	270537	166517
619	270942	166061
620	271397	165635
621	271855	165211
622	272236	164740
623	272681	164308
624	273067	163840
625	273464	163379
626	273929	162959
627	274409	162548
628	274850	162113
629	275308	161689
630	275755	161257
631	276194	160822
632	276594	160363
633	277099	159965
634	277577	159552
635	277990	159101
636	278386	158640
637	278821	158203
638	279244	157757
639	279641	157298
640	280091	156868
641	280478	156403
642	280903	155960
643	281365	155537
644	281772	155084
645	282195	154639
646	282648	154211
647	283031	153745
648	283511	153331
649	283962	152902
650	284364	152447
651	284762	151989
652	285231	151570
653	285691	151145
654	286180	150736
655	286629	150305
656	287105	149889
657	287513	149437
658	287937	148993
659	288430	148585
660	288857	148143
661	289332	147725
662	289779	147293
663	290239	146867
664	290611	146398
665	291119	145996
666	291538	145550
667	291967	145109
668	292455	144697
669	292860	144244
670	293230	143774
671	293649	143329
672	294105	142901
673	294497	142442
674	294975	142025
675	295410	141587
676	295787	141121
677	296236	140690
678	296714	140272
679	297116	139819
680	297571	139390
681	298021	138960
682	298520	138551
683	298887	138082
684	299348	137656
685	299731	137195
686	300155	136752
687	300556	136298
688	300964	135848
689	301447	135433
690	301883	134995
691	302399	134593
692	302807	134144
693	303237	133704
694	303598	133233
695	304019	132790
696	304463	132356
697	304866	131905
698	305304	131468
699	305719	131022
700	306171	130592
701	306600	130152
702	307080	129733
703	307541	129307
704	307955	128860
705	308433	128441
706	308828	127987
707	309222	127532
708	309705	127114
709	310092	126657
710	310530	126221
711	310905	125759
712	311297	125304
713	311694	124852
714	312149	124423
715	312669	124019
716	313094	123578
717	313513	123135
718	313991	122714
719	314384	122260
720	314793	121813
721	315273	121393
722	315666	120939
723	316048	120482
724	316536	120065
725	316970	119628
726	317392	119185
727	317820	118745
728	318221	118296
729	318610	117842
730	319042	117404
731	319481	116968
732	319902	116526
733	320310	116079
734	320698	115625
735	321106	115179
736	321489	114724
737	321899	114278
738	322377	113857
739	322798	113415
740	323275	112993
741	323693	112551
742	324152	112122
743	324616	111696
744	325036	111254
745	325437	110805
746	325971	110402
747	326370	109953
748	326835	109526
749	327244	109081
750	327715	108656
751	328138	108215
752	328536	107766
753	328918	107313
754	329309	106862
755	329755	106429
756	330165	105984
757	330585	105543
758	331051	105116
759	331506	104686
760	331932	104246
761	332401	103820
762	332843	103386
763	333277	102949
764	333669	102499
765	334193	102090
766	334687	101671
767	335123	101235
768	335552	100796
769	336024	100370
770	336434	99926
771	336906	99500
772	337281	99046
773	337751	98619
774	338140	98169
775	338581	97734
776	339084	97317
777	339506	96877
778	339994	96455
779	340420	96016
780	340827	95571
781	341222	95123
782	341771	94718
783	342253	94294
784	342608	93835
785	343008	93389
786	343482	92962
787	343951	92535
788	344352	92089
789	344735	91638
790	345158	91198
791	345578	90757
792	346003	90318
793	346402	89872
794	346828	89433
795	347283	89002
796	347675	88554
797	348078	88110
798	348498	87669
799	348917	87229
800	349318	86784
801	349748	86346
802	350150	85902
803	350579	85464
804	350973	85018
805	351413	84583
806	351869	84152
807	352275	83708
808	352695	83269
809	353162	82840
810	353594	82403
811	354006	81962
812	354370	81509
813	354775	81066
814	355161	80619
815	355609	80186
816	355998	79740
817	356388	79294
818	356766	78845
819	357164	78401
820	357558	77957
821	358026	77528
822	358477	77096
823	358978	76674
824	359407	76237
825	359914	75817
826	360337	75378
827	360758	74940
828	361173	74500
829	361634	74069
830	362101	73640
831	362498	73196
832	362954	72765
833	363354	72322
834	363831	71894
835	364497	71504
836	365180	71116
837	365910	70736
838	366584	70345
839	367233	69949
840	367982	69571
841	368677	69181
842	369205	68760
843	369909	68371
844	370550	67970
845	371077	67548
846	371442	67096
847	371820	66647
848	372254	66207
849	372640	65760
850	373087	65323
851	373487	64878
852	373908	64436
853	374306	63991
854	374721	63549
855	375128	63105
856	375533	62661
857	376008	62229
858	376377	61780
859	376863	61349
860	377281	60908
861	377733	60472
862	378179	60035
863	378592	59593
864	379040	59156
865	379494	58720
866	380014	58295
867	380393	57847
868	380853	57412
869	381285	56973
870	381732	56536
871	382148	56095
872	382585	55656
873	383085	55227
874	383534	54790
875	383913	54343
876	384326	53902
877	384723	53458
878	385183	53023
879	385588	52580
880	385979	52135
881	386378	51692
882	386807	51253
883	387246	50815
884	387661	50374
885	388145	49941
886	388535	49497
887	388969	49059
888	389378	48617
889	389788	48176
890	390258	47742
891	390684	47302
892	391043	46855
893	391412	46409
894	391893	45976
895	392297	45534
896	392698	45092
897	393140	44655
898	393649	44225
899	394078	43786
900	394562	43353
901	394996	42915
902	395466	42480
903	395881	42040
904	396275	41597
905	396715	41160
906	397159	40723
907	397582	40283
908	398026	39846
909	398413	39403
910	398866	38967
911	399270	38526
912	399758	38093
913	400205	37656
914	400728	37226
915	401169	36788
916	401590	36348
917	402003	35908
918	402450	35471
919	402850	35030
920	403240	34588
921	403648	34148
922	404081	33709
923	404563	33275
924	404944	32833
925	405378	32395
926	405826	31958
927	406190	31514
928	406589	31074
929	407073	30639
930	407514	30202
931	407943	29764
932	408330	29322
933	408708	28880
934	409170	28445
935	409537	28002
936	409985	27565
937	410366	27124
938	410804	26687
939	411221	26248
940	411649	25810
941	412094	25373
942	412504	24934
943	412934	24496
944	413323	24055
945	413695	23614
946	414096	23175
947	414509	22736
948	414888	22296
949	415243	21854
950	415666	21417
951	416150	20982
952	416648	20548
953	417033	20108
954	417399	19668
955	417775	19228
956	418174	18789
957	418605	18352
958	419046	17915
959	419487	17478
960	419888	17040
961	420324	16603
962	420761	16166
963	421221	15730
964	421638	15292
965	422071	14855
966	422529	14419
967	422991	13983
968	423353	13543
969	423838	13108
970	424270	12671
971	424669	12233
972	425132	11797
973	425515	11358
974	426034	10923
975	426468	10486
976	426909	10050
977	427344	9613
978	427848	9177
979	428308	8740
980	428801	8305
981	429190	7867
982	429605	7429
983	430028	6992
984	430487	6555
985	430892	6118
986	431379	5681
987	431831	5244
988	432215	4807
989	432632	4370
990	433082	3933
991	433512	3496
992	433907	3058
993	434340	2621
994	434774	2184
995	435178	1747
996	435556	1310
997	435899	873
998	436299	436
999	436719	0
