iter	Logloss
0	0.6044549208
1	0.5366485912
2	0.485968299
3	0.447538767
4	0.4179455394
5	0.3952144015
6	0.3784408612
7	0.365221733
8	0.3553052028
9	0.3471009465
10	0.3402179543
11	0.3355641757
12	0.3318551555
13	0.3290725126
14	0.3267610697
15	0.3248492835
16	0.3232262453
17	0.3217744323
18	0.3204923531
19	0.3191130922
20	0.3183198315
21	0.317472797
22	0.316689335
23	0.3162270397
24	0.3154247066
25	0.3144495318
26	0.3135629371
27	0.3127502389
28	0.3122045234
29	0.3113224415
30	0.3096588957
31	0.3091159799
32	0.3082483786
33	0.3076808404
34	0.3070598779
35	0.306555104
36	0.3059574504
37	0.3048535248
38	0.3044945707
39	0.3040107735
40	0.3034448222
41	0.3027549679
42	0.3020360619
43	0.3017882079
44	0.3010647947
45	0.3004577197
46	0.300179047
47	0.2995976951
48	0.2991018983
49	0.298866856
50	0.298007973
51	0.2976687993
52	0.2972856892
53	0.2966215914
54	0.2962942847
55	0.2957175763
56	0.2949392765
57	0.2947042459
58	0.2942245122
59	0.2936469668
60	0.2929449114
61	0.292634816
62	0.2922752608
63	0.2920202971
64	0.2911092901
65	0.290285161
66	0.2897168099
67	0.2885658028
68	0.2878491644
69	0.2874530606
70	0.287061388
71	0.2864027228
72	0.2861030746
73	0.285872801
74	0.2855024192
75	0.2852877087
76	0.2846640402
77	0.2842108203
78	0.283733596
79	0.2831454004
80	0.2823014714
81	0.2816415664
82	0.2809096489
83	0.2806430914
84	0.2802610257
85	0.2800593841
86	0.2794725594
87	0.2790245523
88	0.2787687129
89	0.2784273897
90	0.27797619
91	0.2773833532
92	0.2770620937
93	0.2761588892
94	0.2758763446
95	0.275283537
96	0.2749333446
97	0.2743706295
98	0.273773986
99	0.2734016312
100	0.2726887422
101	0.2722295895
102	0.2717640844
103	0.2714231603
104	0.2707291063
105	0.2705125409
106	0.2700128227
107	0.269618475
108	0.2692446299
109	0.2689807524
110	0.2684760005
111	0.2679280529
112	0.2674961303
113	0.2669880326
114	0.2661740698
115	0.2657146652
116	0.2652190467
117	0.2648779049
118	0.2640917739
119	0.2637367759
120	0.2632796136
121	0.2628327841
122	0.2620603161
123	0.2615462606
124	0.260839011
125	0.2602435609
126	0.2595878277
127	0.2589158899
128	0.2580462378
129	0.2570657395
130	0.2563043054
131	0.2554687209
132	0.2545426011
133	0.2539642832
134	0.253326075
135	0.2525908187
136	0.2518760246
137	0.2511831353
138	0.2503913278
139	0.2497146258
140	0.2489132737
141	0.2481578022
142	0.2474443952
143	0.2468012348
144	0.2461026588
145	0.2454555613
146	0.2447782985
147	0.2441910205
148	0.2435544302
149	0.2429494083
150	0.2423552209
151	0.2418113258
152	0.241274144
153	0.2406974039
154	0.2401174813
155	0.239625488
156	0.239079686
157	0.2385572459
158	0.2380897884
159	0.2375977145
160	0.2371017279
161	0.2366104169
162	0.2361486348
163	0.2356753042
164	0.2352598664
165	0.2347955647
166	0.2343687454
167	0.233919973
168	0.2334597238
169	0.2330134129
170	0.2326143128
171	0.2321899938
172	0.2318054821
173	0.2314047413
174	0.2310109977
175	0.2306517535
176	0.2303065308
177	0.2299487774
178	0.2295677879
179	0.229191634
180	0.2287991162
181	0.2284019492
182	0.2280394022
183	0.2276861019
184	0.2273490876
185	0.2270382486
186	0.2266863672
187	0.22634918
188	0.226007298
189	0.2256709078
190	0.2253445616
191	0.2250234531
192	0.2246911068
193	0.2243692184
194	0.2240527105
195	0.2237396436
196	0.2234253135
197	0.2231391252
198	0.2228320665
199	0.222528152
200	0.2222281282
201	0.2219264073
202	0.2216358536
203	0.2213414797
204	0.2210747712
205	0.2207662176
206	0.2205103602
207	0.2202476391
208	0.2199719198
209	0.2196805529
210	0.2193645385
211	0.2190732016
212	0.2187948394
213	0.2185520077
214	0.2183028255
215	0.2180400135
216	0.2177873251
217	0.2175253493
218	0.2172972662
219	0.217054179
220	0.2167749852
221	0.2165356045
222	0.2163109213
223	0.2160542453
224	0.2158035869
225	0.2155577779
226	0.2153336305
227	0.215110318
228	0.2148619291
229	0.2146386075
230	0.2143861375
231	0.2141787675
232	0.2139425794
233	0.2137057147
234	0.2134770853
235	0.2132448582
236	0.2130240828
237	0.2128165712
238	0.2126142479
239	0.2123915417
240	0.2121876682
241	0.2119929068
242	0.2117877481
243	0.211566899
244	0.2113811937
245	0.2111337318
246	0.210911067
247	0.2107049101
248	0.2104972853
249	0.2102788699
250	0.2100685613
251	0.2098713089
252	0.2096695538
253	0.2094832832
254	0.2092704562
255	0.2090741645
256	0.208886742
257	0.2086830032
258	0.2084923671
259	0.2083050011
260	0.2081057116
261	0.2079263951
262	0.207731037
263	0.2075375392
264	0.2073651762
265	0.2072017315
266	0.2070302248
267	0.2068539946
268	0.2066629942
269	0.2064936609
270	0.2063226148
271	0.206151417
272	0.2059831558
273	0.2058156304
274	0.2056020879
275	0.2054183678
276	0.2052551057
277	0.2050670797
278	0.2049082774
279	0.2047268446
280	0.2045499724
281	0.2043481297
282	0.2041771096
283	0.2039917179
284	0.2038545724
285	0.2036818692
286	0.2035132949
287	0.203330455
288	0.2031675858
289	0.2029939247
290	0.2028388061
291	0.2026647474
292	0.202506763
293	0.2023465786
294	0.2022092384
295	0.2020525903
296	0.2018785314
297	0.2017104477
298	0.2015699252
299	0.2014295608
300	0.2012714445
301	0.2010967345
302	0.200931014
303	0.2007841871
304	0.2006287936
305	0.2004658076
306	0.2002970676
307	0.2001555401
308	0.2000391788
309	0.1998900439
310	0.1997243624
311	0.1995808217
312	0.1994337658
313	0.199298645
314	0.1991646426
315	0.1990109682
316	0.198890312
317	0.1987529862
318	0.1986119918
319	0.1984913465
320	0.1983306996
321	0.1981795737
322	0.1980388591
323	0.1978916288
324	0.1977464276
325	0.1975983376
326	0.1974721959
327	0.1973308354
328	0.1971803176
329	0.1970569523
330	0.1969084821
331	0.19679305
332	0.1966334306
333	0.196491622
334	0.1963678229
335	0.1962303964
336	0.1960994432
337	0.1959669908
338	0.195827157
339	0.1957082891
340	0.1955703361
341	0.1954212666
342	0.1953015414
343	0.1951792349
344	0.1950560568
345	0.1949419892
346	0.1948119502
347	0.1947021156
348	0.1945727441
349	0.1944420619
350	0.1943132488
351	0.1941899199
352	0.1940522372
353	0.1939197167
354	0.1937973278
355	0.193669752
356	0.1935466563
357	0.1934367828
358	0.1933167923
359	0.193206172
360	0.193082224
361	0.1929599199
362	0.1928433744
363	0.1927358613
364	0.192624988
365	0.1925057661
366	0.1923759547
367	0.1922701809
368	0.1921386704
369	0.192007245
370	0.1918865536
371	0.1917497046
372	0.1916272199
373	0.1915143091
374	0.1913854703
375	0.1912683505
